Object type,Attribute name,Data type,I/O,License,Version added,Description
reservoir,latitude,double,Input,SHOP_OPEN,13.0.0.a,"Reserved for future use (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,longitude,double,Input,SHOP_OPEN,13.0.0.a,"Reserved for future use (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,max_vol,double,Input,SHOP_OPEN,13.0.0.a,"Maximum volume of the reservoir (xUnit: MM3, yUnit: MM3)"
reservoir,lrl,double,Input,SHOP_OPEN,13.0.0.a,"Lowest Regulation Level (meter above sea level) of the reservoir (xUnit: METER, yUnit: METER)"
reservoir,hrl,double,Input,SHOP_OPEN,13.0.0.a,"Highest Regulation Level (meter above sea level) of the reservoir (xUnit: METER, yUnit: METER)"
reservoir,vol_head,xy,Input,SHOP_OPEN,13.0.0.a,"The volume (Mm3) and water level (meter above sea level) relation of the reservoir (xUnit: MM3, yUnit: METER)"
reservoir,elevation_adjustment,txy,Input,SHOP_ELEVATION_ADJUSTMENT,13.0.0.a,"Adjustment for the lowest regulation level (lrl), highest regulation level (hrl), and the volume (Mm3) and water level (meter above sea level) relation of the reservoir (xUnit: NO_UNIT, yUnit: METER)"
reservoir,start_vol,double,Input,SHOP_OPEN,13.0.0.a,"Reservoir start volume (xUnit: MM3, yUnit: MM3)"
reservoir,start_head,double,Input,SHOP_OPEN,13.0.0.a,"Reservoir start water level (meter above sea level) (xUnit: METER, yUnit: METER)"
reservoir,inflow,txy,Input,SHOP_OPEN,13.0.0.a,"Inflow to reservoir (xUnit: NO_UNIT, yUnit: M3/S)"
reservoir,inflow_flag,txy,Input,SHOP_OPEN,13.2.0.a,"Flag determining whether the inflow to a reservoir should be used as input or calculated as output in the simulation: 0 = input; 1 = output (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,sim_inflow_flag,txy,Input,SHOP_SIMULATION,13.0.0.a,"Flag determining whether inflow should be simulated to reservoir or not (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,flow_descr,xy,Input,SHOP_OPEN,13.0.0.a,"The water level (meter above sea level) and overflow (m3/s) relation of the reservoir (xUnit: METER, yUnit: M3/S)"
reservoir,overflow_mip_flag,txy,Input,SHOP_OVERFLOW_MIP,13.0.0.a,"Flag determining whether the binary variables should be used to prevent non-physical spill (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,overflow_cost,txy,Input,SHOP_OVERFLOW_COST,13.0.0.a,"Overflow cost for the reservoir (xUnit: NO_UNIT, yUnit: NOK/MM3)"
reservoir,overflow_cost_flag,txy,Input,SHOP_OVERFLOW_COST,13.0.0.a,"Flag determining whether overflow cost for this reservoir should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,min_vol_constr,txy,Input,SHOP_OPEN,13.0.0.a,"Time-dependent minimum volume limit for the reservoir (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,min_vol_constr_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the time-dependent minimum volume limit for the reservoir should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,max_vol_constr,txy,Input,SHOP_OPEN,13.0.0.a,"Time-dependent maximum volume limit for the reservoir (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,max_vol_constr_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the time-dependent maximum volume limit for the reservoir should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,min_head_constr,txy,Input,SHOP_OPEN,14.0.0.1,"Time-dependent minimum water level limit for the reservoir. The min_vol_constr attribute is preferred if it is present for the same reservoir. (xUnit: NO_UNIT, yUnit: METER)"
reservoir,min_head_constr_flag,txy,Input,SHOP_OPEN,14.0.0.1,"Flag determining whether the time-dependent minimum water level limit for the reservoir should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,max_head_constr,txy,Input,SHOP_OPEN,14.0.0.1,"Time-dependent maximum water level limit for the reservoir. The max_vol_constr attribute is preferred if it is present for the same reservoir. (xUnit: NO_UNIT, yUnit: METER)"
