

Reservoir storage. Head.  
Time          Reservoir1            Reservoir2    
hour       Mm3       Meter       Mm3       Meter  
   0    2.4000   92.0000    1.5000   43.0000  
   1    2.5377   92.1148    1.4019   42.8037  
   2    2.4932   92.0776    1.3024   42.6049  
   3    2.4493   92.0411    1.2023   42.4046  
   4    2.4061   92.0051    1.1015   42.2031  
   5    2.3635   91.9696    1.0001   42.0001  
   6    2.3217   91.9348    0.8979   41.7958  
   7    2.2806   91.9005    0.7950   41.5901  
   8    2.2401   91.8667    0.6915   41.3830  
   9    2.1600   91.8000    0.6276   41.2552  
  10    2.0160   91.6800    0.6276   41.2552  
  11    1.8720   91.5600    0.6276   41.2552  
  12    1.7280   91.4400    0.6276   41.2552  
  13    1.5840   91.3200    0.6276   41.2552  
  14    1.4400   91.2000    0.6276   41.2552  
  15    1.2960   91.0800    0.6276   41.2552  
  16    1.1520   90.9600    0.6276   41.2552  
  17    1.0080   90.8400    0.6276   41.2552  
  18    0.8640   90.7200    0.6276   41.2552  
  19    0.7200   90.6000    0.6276   41.2552  
  20    0.5760   90.4800    0.6276   41.2552  
  21    0.4320   90.3600    0.6276   41.2552  
  22    0.2880   90.2400    0.6276   41.2552  
  23    0.1440   90.1200    0.6276   41.2552  
  24    0.0000   90.0000    0.6276   41.2552  



Plant production/consumption and discharge/upflow.  
Time           Plant1                                        Plant2                                
      Production  Discharge  Consumption  Upflow    Production  Discharge  Consumption  Upflow  
hour        MW        m3/sec       MW       m3/sec        MW        m3/sec       MW       m3/sec  
   1     25.00      62.74       0.00       0.00        32.66      90.00       0.00       0.00     
   2     25.00      62.38       0.00       0.00        32.50      90.00       0.00       0.00     
   3     25.00      62.19       0.00       0.00        32.34      90.00       0.00       0.00     
   4     25.00      62.00       0.00       0.00        32.18      90.00       0.00       0.00     
   5     25.00      61.81       0.00       0.00        32.01      90.00       0.00       0.00     
   6     25.00      61.62       0.00       0.00        31.85      90.00       0.00       0.00     
   7     25.00      61.43       0.00       0.00        31.68      90.00       0.00       0.00     
   8     25.00      61.24       0.00       0.00        31.51      90.00       0.00       0.00     
   9     30.23      72.25       0.00       0.00        31.35      90.00       0.00       0.00     
  10     38.81      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  11     38.71      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  12     38.61      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  13     38.51      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  14     38.42      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  15     38.32      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  16     38.22      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  17     38.12      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  18     38.02      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  19     37.93      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  20     37.83      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  21     37.73      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  22     37.63      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  23     37.54      90.00       0.00       0.00        31.24      90.00       0.00       0.00     
  24     37.44      90.00       0.00       0.00        31.24      90.00       0.00       0.00     

Load, buy, sale, contracts, total production, total consumption, incremental cost and balance
Time            Load             Buy            Sale       Contracts     Total prod.     Total cons.  Increment cost   Balance  
hour             MW              MW              MW              MW              MW              MW          Kr/MWh        MW        MW  
   1            0.00            0.00          -57.66            0.00           57.66            0.00          0.00        0.00  
   2            0.00            0.00          -57.50            0.00           57.50            0.00          0.00        0.00  
   3            0.00            0.00          -57.34            0.00           57.34            0.00          0.00        0.00  
   4            0.00            0.00          -57.18            0.00           57.18            0.00          0.00        0.00  
   5            0.00            0.00          -57.01            0.00           57.01            0.00          0.00       -0.00  
   6            0.00            0.00          -56.85            0.00           56.85            0.00          0.00       -0.00  
   7            0.00            0.00          -56.68            0.00           56.68            0.00          0.00       -0.00  
   8            0.00            0.00          -56.51            0.00           56.51            0.00          0.00       -0.00  
   9            0.00            0.00          -61.67            0.00           61.57            0.00          0.00       -0.10  
  10            0.00            0.00          -70.05            0.00           70.05            0.00          0.00        0.00  
  11            0.00            0.00          -69.95            0.00           69.95            0.00          0.00        0.00  
  12            0.00            0.00          -69.85            0.00           69.85            0.00          0.00        0.00  
  13            0.00            0.00          -69.76            0.00           69.76            0.00          0.00        0.00  
  14            0.00            0.00          -69.66            0.00           69.66            0.00          0.00        0.00  
  15            0.00            0.00          -69.56            0.00           69.56            0.00          0.00        0.00  
  16            0.00            0.00          -69.46            0.00           69.46            0.00          0.00        0.00  
  17            0.00            0.00          -69.36            0.00           69.36            0.00          0.00        0.00  
  18            0.00            0.00          -69.27            0.00           69.27            0.00          0.00        0.00  
  19            0.00            0.00          -69.17            0.00           69.17            0.00          0.00        0.00  
  20            0.00            0.00          -69.07            0.00           69.07            0.00          0.00       -0.00  
  21            0.00            0.00          -68.97            0.00           68.97            0.00          0.00        0.00  
  22            0.00            0.00          -68.88            0.00           68.88            0.00          0.00        0.00  
  23            0.00            0.00          -68.78            0.00           68.78            0.00          0.00        0.00  
  24            0.00            0.00          -68.68            0.00           68.68            0.00          0.00       -0.00  

Max. unbalance       0.10 MW
  
