
Plant production/consumption and discharge/upflow.  
Time           Plant1                                   G-1                   Eff_head    Head_loss  
      Production  Discharge  Consumption  Upflow    Production  Discharge  
hour      MW        m3/sec       MW       m3/sec        MW        m3/sec        meter       meter  
   1     25.00      62.74       0.00       0.00        25.00      62.74         47.82        1.18  
   2     25.00      62.38       0.00       0.00        25.00      62.38         48.14        1.17  
   3     25.00      62.19       0.00       0.00        25.00      62.19         48.31        1.16  
   4     25.00      62.00       0.00       0.00        25.00      62.00         48.48        1.15  
   5     25.00      61.81       0.00       0.00        25.00      61.81         48.66        1.15  
   6     25.00      61.62       0.00       0.00        25.00      61.62         48.83        1.14  
   7     25.00      61.43       0.00       0.00        25.00      61.43         49.01        1.13  
   8     25.00      61.24       0.00       0.00        25.00      61.24         49.19        1.13  
   9     30.23      72.25       0.00       0.00        30.23      72.25         48.92        1.57  
  10     38.81      90.00       0.00       0.00        38.81      90.00         48.11        2.43  
  11     38.71      90.00       0.00       0.00        38.71      90.00         47.99        2.43  
  12     38.61      90.00       0.00       0.00        38.61      90.00         47.87        2.43  
  13     38.51      90.00       0.00       0.00        38.51      90.00         47.75        2.43  
  14     38.42      90.00       0.00       0.00        38.42      90.00         47.63        2.43  
  15     38.32      90.00       0.00       0.00        38.32      90.00         47.51        2.43  
  16     38.22      90.00       0.00       0.00        38.22      90.00         47.39        2.43  
  17     38.12      90.00       0.00       0.00        38.12      90.00         47.27        2.43  
  18     38.02      90.00       0.00       0.00        38.02      90.00         47.15        2.43  
  19     37.93      90.00       0.00       0.00        37.93      90.00         47.03        2.43  
  20     37.83      90.00       0.00       0.00        37.83      90.00         46.91        2.43  
  21     37.73      90.00       0.00       0.00        37.73      90.00         46.79        2.43  
  22     37.63      90.00       0.00       0.00        37.63      90.00         46.67        2.43  
  23     37.54      90.00       0.00       0.00        37.54      90.00         46.55        2.43  
  24     37.44      90.00       0.00       0.00        37.44      90.00         46.43        2.43  


Plant production/consumption and discharge/upflow.  
Time           Plant2                                   G-1                   Eff_head    Head_loss  
      Production  Discharge  Consumption  Upflow    Production  Discharge  
hour      MW        m3/sec       MW       m3/sec        MW        m3/sec        meter       meter  
   1     32.66      90.00       0.00       0.00        32.66      90.00         40.57        2.43  
   2     32.50      90.00       0.00       0.00        32.50      90.00         40.37        2.43  
   3     32.34      90.00       0.00       0.00        32.34      90.00         40.17        2.43  
   4     32.18      90.00       0.00       0.00        32.18      90.00         39.97        2.43  
   5     32.01      90.00       0.00       0.00        32.01      90.00         39.77        2.43  
   6     31.85      90.00       0.00       0.00        31.85      90.00         39.57        2.43  
   7     31.68      90.00       0.00       0.00        31.68      90.00         39.37        2.43  
   8     31.51      90.00       0.00       0.00        31.51      90.00         39.16        2.43  
   9     31.35      90.00       0.00       0.00        31.35      90.00         38.95        2.43  
  10     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  11     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  12     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  13     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  14     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  15     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  16     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  17     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  18     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  19     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  20     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  21     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  22     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  23     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  
  24     31.24      90.00       0.00       0.00        31.24      90.00         38.83        2.43  

